,"Cash Flows from/Used in Operating Activities, Direct","Net Cash Flow from Continuing Operating Activities, Direct","Cash Receipts from Operating Activities, Direct","Interest Received, Direct","Cash Payments from Operating Activities, Direct","Payments to Suppliers for Goods and Services, Direct","Taxes Paid, Direct","Interest Paid, Direct","Other Cash Payments from Operating Activities, Direct",Cash Flow from Investing Activities,Cash Flow from Continuing Investing Activities,Exploration and Mine Development Costs,"Purchase/Sale of Investments, Net",Purchase of Investments,Sale of Investments,Other Investing Cash Flow,"Purchase/Sale of Other Non-Current Assets, Net",Purchase of Other Non-Current Assets,"Purchase/Sale and Disposal of Property, Plant and Equipment, Net","Purchase of Property, Plant and Equipment",Purchase of Mineral Properties/Rights/Interests,Cash Flow from Financing Activities,Cash Flow from Continuing Financing Activities,"Issuance of/Payments for Common Stock, Net",Proceeds from Issuance of Common Stock,Issuance of/Repayments for Lease Financing,Issue and Financing Costs,Share Issuance Costs,Other Financing Cash Flow,"Issuance of/Repayments for Debt, Net","Issuance of/Repayments for Long Term Debt, Net",Repayments for Long Term Debt,"Cash and Cash Equivalents, End of Period",Change in Cash,"Cash and Cash Equivalents, Beginning of Period"
"Cash, Cash Equivalents, Marketable Securities",0.11236650518247755,0.047950680910249954,0.09952563524518557,-0.008362066404491553,0.12842716415577848,0.025814632099289865,-0.011336059241492611,-0.034893719876179084,0.11296831462499518,0.07982707843297247,0.11379269331321176,0.02392972485734794,0.06293422338315138,0.06169274595201696,0.06228323414576674,0.04809497022165664,0.10937471993437303,0.09098407535223536,0.01062052352794677,0.004238088364702254,0.00945881580113539,0.07079076551155111,0.03822546428727653,0.10544380478960867,0.04601086709244935,0.03643542585573699,0.010618357121665301,0.009543345235334517,0.09229405363365303,-0.01615672943123412,-0.015044508786178187,-0.024637920269721607,0.07402762229030907,0.03937363256749947,0.1012309197615352
  Accounts Receivable,0.039723423644063484,0.009580521992221973,0.0776863974291277,0.051694292009695886,0.09112633796379646,0.011273547789205132,0.02657892191790792,0.04882878391247982,0.0723196465147391,-0.004745132500448798,-0.005929120663027652,0.003272561759604232,-0.018693936041640928,0.02223568976910555,0.00906957086525417,-0.039100455720664874,0.014671745233219386,0.016923281905328654,-0.019174946036639974,-0.02939780739455943,0.0008388316410155652,-0.007125214676954316,-0.0033296022980299246,0.05186547350307331,0.03259770598531061,0.02044875746252196,0.023266247789598456,0.030638742953511756,0.004522543559864236,0.04719505205834265,0.051171053347142184,0.011501887474285856,-0.004551060312525539,-0.022366983018342924,0.011004155525824146
  Notes Receivable,-0.018269973281604283,-0.02307677671852121,0.006431444932114404,0.05830790499945295,-0.009201234461651473,0.00014757605398047413,0.04617240508147858,0.03719948882968866,0.02715905677692929,0.0038286365094637705,-0.026301275193583756,-0.039214117282220545,0.009748226573396787,0.03276639024686278,0.017072742621465853,0.016741661930322255,-0.01685680782701888,-0.0007711297970563026,-0.029217835382678373,0.011183150553763158,-0.01486051249935914,-0.026322709609488973,-0.01869173451880233,-0.02597103915949379,0.004546584801444676,-0.0005254542030430822,-0.025315641753446933,-0.0035763003783679955,-0.011411123844500638,0.03595160872579385,0.03197017736433137,0.03732731446568625,0.02032116905616285,0.024321139685814164,-0.016454528441526044
  Loans Receivable,-0.024522273878612146,-0.022649652268536255,0.04199221128407174,0.04789262513349445,0.0036636447042859405,-0.0336043705170382,0.02974933446101354,0.10658150265034598,0.031220986360266847,0.0040639055911615525,-0.023485001249768826,-0.009004430454464456,0.02206886178677006,0.004337636558526061,0.011139294760861522,0.006295000438594226,-0.02679444180790703,-0.01855302504999677,-0.0322140034650496,0.009410776517128955,-0.025014548532312754,0.044797461423298796,0.040285606917942696,-0.020620813426591028,-0.017333854677588734,0.011608384871404451,0.026887634931239433,5.0586591793006994e-05,0.04785466395445705,0.05278522197451234,0.044181644476651655,0.04568185562915161,0.00949713247360209,0.026075883299591127,0.005216318194166092
  Other Current Receivables,0.006968891601188857,-0.011088280768798683,0.09718193555811261,0.07182129706475263,0.022413848652831206,-0.0024166649003053704,0.010747760653917186,0.0474704429112154,0.0993783762106937,-0.0046011715392954115,-0.014377394834729485,-0.0016437541260585435,0.03368581872702329,0.013372369057220833,0.010878558978487576,0.060923507956550646,0.08373505365338048,0.08020979384839741,-0.024260233213590457,0.030787057581439403,-0.0031492265759727896,-0.025229802813598608,-0.004539249827484677,-0.004523289474307466,0.0019494682561755333,-0.01171252788024957,-0.008748752683370864,-0.00725605076937032,0.08759666645657588,0.028440048938441313,0.027204252291800537,0.034854086307525435,0.06290109382447967,0.027801660337323002,0.05589399319186725
Total Receivables,0.009735327986135672,0.014829501058263458,0.04177033288233848,0.03248000297456453,0.013888055619518527,0.0052158392494339005,0.0197938219902505,-0.016420756272599837,0.0010940058949828846,0.004490723268833843,0.004868174116741517,0.009816634401190641,-0.01798031482545415,0.011280269196717641,-0.0014058900250126494,-0.016886521743862418,0.026684969459114315,0.013190110372103455,-0.013060223410340722,-0.03968767650879645,0.004829790050182375,-0.01007715076341682,-0.004492394886176387,0.027921491695475278,0.03353280083449313,0.02055418581750141,-0.007845610422730997,0.0279173117198056,0.024880221315069076,-0.016353831694756932,-0.036821151005809155,-0.02521168851473851,0.013640499308033188,-0.021848953155974515,0.013822666078274736
"  Inventories, Raw Materials & Components",0.048834858457138725,0.048608161893669656,0.050203391367500676,-0.02066463421782808,0.05020348605053281,0.04139414748052928,0.0003116270286676032,0.03369925967726759,0.05720592600321836,0.05610412861338324,0.052919464163257275,0.06763248995985378,0.0516175446239747,0.0686073188632954,0.05099581141520696,0.034646336052958145,0.052452769477342905,0.04621566643066802,0.11081844444038638,0.10217050431033045,0.05097991974556068,0.01769279998520903,0.03318185905012196,0.06278498339329364,0.05493262562857903,0.06600581000330612,0.05266649004814012,0.05060207176036004,0.050124917236000266,0.057231053595391004,0.0631600118668651,0.051826978254407526,0.0620466562826185,0.018702817314845833,0.034132160987922634
"  Inventories, Work In Process",-0.0007137909862625902,-0.016031276773595563,0.047025953796197985,0.03472888703809365,0.0028221322324432038,0.005834945378903403,0.02489624920330182,0.035409181331433025,0.03904652398057824,0.013817250539014593,0.006017465439568861,-0.005912401434657727,0.0994521699298527,0.0461034143055363,0.01432019389521891,0.028021644221594137,0.0029280828780440717,-0.02570252811588915,0.028351048249342193,0.09997531439117259,0.006145017515401114,-0.018997983326373848,-0.0010099765152647476,0.0003163284955391855,0.029856438604919232,-0.0029538619586204247,-0.008391284475502078,-0.005470120574777394,-0.009375594098638283,0.02937728803671489,0.031956470261929146,0.03811233730873771,0.004340507738968522,0.034049199954655565,0.0017856881073780731
"  Inventories, Inventories Adjustments",0.1022373499082388,0.09873461890138853,0.1255002300638522,0.10412033149811954,0.118059600420893,0.1005234839748814,0.0650586697005125,0.08729359686235338,0.10855571571258245,0.11293645336812412,0.10659709992184252,0.12433519277794586,0.12013002590377542,0.12502543661730994,0.14876312291590152,0.057865386651902426,0.07864395994872726,0.08841359548879262,0.09176516224353169,0.08419582641387434,0.10202691464579353,0.07367101973867059,0.08041946900944007,0.1267737799207187,0.1041998147793656,0.12209374742594163,0.09903001258569966,0.09817178453593059,0.09140770390741094,0.10052148782245159,0.1013413225011244,0.10242567683356207,0.10357759441759307,0.08163346856439123,0.10206062452740984
"  Inventories, Finished Goods",0.050839062207324516,0.049154134171598876,0.033310620208859214,0.01932044114684268,0.05501642669542284,0.0638176037004323,0.04252428194688261,0.027674138644652013,0.07561524131963178,0.057902056098664716,0.050506346444461954,0.05079291581325119,0.04506315162605752,0.06869392685761426,0.04493750520715308,0.071811514656942,0.05429210444896487,0.03371626227257703,0.0787614757242406,0.05010071669416488,0.030612771876703075,0.041317863137579264,0.04609858714365844,0.026108751838153848,0.02596471616058871,0.06911667811478704,0.07606254440207552,0.04916639095915328,0.07658351300697612,0.03905335197041667,0.041889219824789325,0.04964294855480172,0.08227591717001136,0.053042876054978816,0.031854771510087136
"  Inventories, Other",0.057961840453510285,0.061952718272120746,0.05784536144606191,0.024707358481857324,0.07331199028199949,0.05023401531211129,0.026363798096651025,0.049846707925281064,0.09357723590948694,0.060858089582316734,0.06382758850676168,0.06504979790114812,0.16099545730869716,0.08876221129701883,0.06555214061102253,0.0713943941675911,0.15982901721982545,0.15622150740620816,0.12877414557739264,0.14032985439057502,0.05961815491263527,0.04403448392459368,0.054215157505038504,0.007934413601024537,0.009828319824747925,0.06942303583719948,0.06262444465001825,0.04684709826465058,0.0835396243518754,0.058093358291394184,0.06799821786090399,0.058434805221007226,0.059446921749166506,0.04976685794353122,0.01181261943913768
Total Inventories,0.05986371096799716,0.058206378594233374,-0.011831889383829996,-0.007932958787265448,0.05445939194047877,0.06675553447199728,0.06746721358906345,0.06812573785327063,0.05133439649202567,0.0853735528692111,0.0771220766870959,0.03383163386294764,0.08158094229623603,0.07122974135775326,0.07086130838091995,0.09325885957782837,0.06075706928747222,0.024209648795620684,0.035785515209166195,0.037891446526347086,0.03996780299886591,0.0463757560138319,0.06572443210575728,0.011439593108354936,0.016796990164037396,0.041333723320925025,0.03227642293257518,0.03287567344288749,0.03207937135498153,0.035013252075695785,0.05079740474571616,0.03731744011241948,0.026448839182921468,0.03661787538904631,0.043827731313624295
Other Current Assets,0.020518932990433867,0.012406247101647876,0.03221878560227832,0.039467691853924514,0.012773304762467297,0.023866288752348502,0.038240820578033456,0.03523383176924755,0.05794239450039934,0.09007697269803144,0.06142913773199111,0.04786371476847743,0.11756120243020506,0.12836040615555433,0.09946059707842626,0.1167886124529318,0.20434083785163495,0.28983917544418447,0.037896572937245146,0.12308663917331877,0.10334303208763962,0.05266049800184731,0.020276359735136994,0.028154918518178276,0.007466631209574069,0.03396990707170806,0.036409002311066446,0.03644171271090675,0.15004779428941495,0.03209994044360247,0.023339832650135887,0.044705773540702945,0.01418245231138587,0.026367882122997958,0.010557288527800412
Total Current Assets,0.0537471061013052,0.004328480226900794,0.011988539651702358,0.0006010230178516282,-0.018243632178609637,-0.007029199914846322,0.002806184700480719,-0.015922898501642746,0.0017968965959452698,0.05173050072297205,0.0509880762366954,0.01618221826087255,0.05358471360850468,0.08260504211996841,0.08470277943566462,0.04963482648249501,0.07471705131501909,0.0790326980586507,-0.026230285321538708,-0.01731220652782991,-0.030941398219918405,0.03808619859291216,0.025875743977570354,0.09131616437881673,0.092604315642854,0.0010483785271389809,0.005246061946574466,0.006975254877261704,0.07284679068566324,0.036515605284383315,0.038152005331440794,-0.03487892319294422,0.009403119907010107,-0.004060505906720276,0.022492899810614336
Investments And Advances,-0.010570078010553206,0.0017019378978673136,0.03847029662463754,0.027163292496973135,0.008691249285513201,0.024876825096197337,0.015091092076762427,0.04237694754456307,0.03873865273906689,0.06720397740123574,0.06980675719759402,0.01326653200534475,0.11082772790077443,0.07352237099353826,0.10085752664483873,0.09912391867084497,-0.0020811020564053704,-0.004573570667469794,0.013513386060121422,0.056621632496163546,-0.0024603169153409395,-0.019861142283476116,-0.010861858632459948,0.025619760774265074,0.009826534099692249,0.029490021266323524,0.016714913575698688,0.008136849271952337,0.011215571802338283,0.07208636657117706,0.05610798987405375,0.05596339530501263,0.028076357814844917,0.021824700174211727,0.019848688907657258
  Land And Improvements,-0.029406523625473448,-0.058306741175450906,-0.0005878866697004947,0.01378617776104704,-0.027348748300763285,0.012723082977889785,-0.009421240471869275,0.006016387782131745,0.005166655643496763,-0.015373663877045744,-0.03899001179991153,0.010461631000398633,0.04427736552344322,0.06364382517951689,0.04805360897852685,0.018029343100079885,-0.012663309562886622,0.00010410392017340484,0.027868325550035055,0.12002760455737788,0.0014043186855035336,-0.011604136282458535,-0.01684726864935894,0.021439870423683026,0.009723057451054671,0.01314766749434218,0.015254285059422045,-0.00712470303634819,0.00016323889609477522,0.05519902358602658,0.04863085216236571,0.0538485096753221,-0.004987949414894249,-0.009317397783566099,-0.011203280024881367
  Buildings And Improvements,0.008689352874356931,0.009260831597387874,0.019872054707209225,0.006984237979299402,0.01725120053080915,0.03831484646614891,-0.001318775031753484,0.0265331707414881,0.04427986313965814,0.0004916014947700008,0.007815735036348267,0.09488491035880235,0.07039703012076706,0.08032550770433342,0.09832728988580376,0.01067168559113074,0.053923968238196944,0.04980888854753309,0.06013449305195487,0.056572946768559035,0.04193049734600398,0.0028124951841959163,0.008882478415084112,0.048620803838371425,0.028513321154889526,0.08044177115213905,0.10177842309589769,0.03421053087296609,0.06529617443786809,0.046944331261088525,0.04329127252876711,0.04148336453961225,0.04562315519822799,0.011252052364527669,0.06804344765015198
"  Machinery, Furniture, Equipment",0.017037993465656126,0.012977326676843818,0.017062233116325785,-0.02761885094642506,-0.0008060368050633085,0.02675768256078601,-0.01803836376925204,0.009938057327354564,0.028739744990149002,-0.014971874390367016,-0.008872244325491073,0.06235086328910255,0.04783553998178061,0.04024176679513124,0.045951386269987016,-0.007605728087847567,0.034133509233650584,0.044786173651010244,0.14586329125468733,0.1269518230896411,0.04824026936788649,-0.015955213513091118,-0.008585483287666186,0.004595095348412795,-0.003361704730189133,0.04485566312102318,0.03144841228229581,0.003823025435628293,0.03193961622142824,0.015081744559209095,0.005127711968947931,0.020771111674184044,0.017564864140435364,-0.014866104029434921,0.014770183243667565
  Construction In Progress,0.002099512404215658,0.0007463447817682868,0.06294640529768886,0.06362896378933625,0.005219345002801449,0.02195995943641712,0.0036375667635976713,0.015316942592383054,0.011893143126995166,0.00790074641819397,0.007109893716249811,0.055180190003099414,0.02866413900804697,0.03658436533200836,0.04993919369879872,0.02928958524224846,0.010233342596369287,0.005855670357254071,0.032740006394801846,0.04260333979182844,0.0411279144450898,-0.004383308311744325,0.03010672754526582,0.0216953357949093,0.03235025420730439,0.038325923981407835,0.035000784429590766,0.008734800151736055,0.021399970128029792,0.010348553973146454,0.010717856555571236,0.010793339832309375,-0.016920331657715212,0.01643192723846692,0.016094063360453804
  Other Gross PPE,-0.01708795196771789,-0.026206888357967976,0.01596953795042945,0.005508068037875102,-0.013875135739495835,-0.01118067189429623,-0.005051777956286353,0.02104636532125274,0.03559606358529201,-0.019793858963691225,-0.028191215970532556,6.041350349769161e-05,0.010050188943002098,-0.006368414657021356,0.03918608830131563,0.034889030237646085,0.049920385639162165,0.0474382380648018,0.013594869552344707,0.02459945469333807,0.0027221712314786663,-0.026708384910402606,-0.029276204575136393,0.03792342972494524,0.03146498603463908,0.0021678597180866364,0.009619306679257148,0.008826402815577788,0.0540473375842306,0.006538081708546115,0.004418550250964442,0.00394728252886586,0.017701473046818808,-0.0039968626254644245,0.036008337524558
"Gross Property, Plant and Equipment",0.010503934850803157,0.01044009598475703,0.07450677421647568,0.05917980004842121,0.029914626652607895,0.037668764720677136,0.01779599248803881,0.025771227312003257,0.07754772122999212,0.012852403611756151,0.008557900467831545,0.05922829579452341,0.07240280221118525,0.03110635261008163,0.07591987765662311,0.015280435764376621,0.05523984601269049,0.03323740162408288,0.29263444701183894,0.30125654059959717,0.11767410665552268,0.0008687087232009036,0.008863158743042604,0.0446227587232496,0.031190103039861004,0.04035887451399645,0.04547163065600406,0.02801389141775786,0.02525737966589806,0.05221562178291209,0.05126786536035636,0.050427456649926754,0.07379410176197654,0.001676263009930303,0.08340527698556821
  Accumulated Depreciation,0.09765280092331756,0.09099981368748777,0.1245180704959692,0.12028240141660032,0.08878692610683621,0.09210981189194678,0.09992587989692663,0.11419500466120859,0.12306990831511914,0.08680001971152046,0.06467319065726553,0.11557754785318052,0.08309090147158874,0.07884689511955564,0.09555903076003024,0.10802005231966483,0.07677573695545588,0.1304253578323606,0.09458624250175071,0.09219645023350821,0.09845524372303181,0.08030983803567886,0.07098542568051577,0.07783737052641591,0.08951206026967053,0.08952885292914843,0.09386679750129473,0.08841444549203328,0.08883293001948142,0.08879757305153532,0.087002008721926,0.09677091407353874,0.08693142901079919,0.08275305078262578,0.08761481399377669
"Property, Plant and Equipment",0.01680362073801458,0.022773575072871147,0.07029144555857232,0.050539774188782215,0.03371369998713088,0.032346307282693006,-0.012993431023181068,0.011629743134621975,0.07011804019546529,0.0199248714349342,0.006700051475635975,0.06018919165039683,0.05983572465943148,0.039945934011889735,0.08249549791846815,0.012779014014905873,0.031080868540619696,0.03969558213208564,0.664938724130189,0.6952535360016858,0.11998187740622693,0.008297822126965474,0.01613330722651131,0.05025819879851699,0.04347002561945044,0.028986639674208003,0.046391512812478254,0.024235536505333995,0.023942120226021626,0.044278137752082496,0.03689551215386957,0.05430885002747906,0.08120402158388124,-6.651733517887423e-05,0.0869768962299857
Intangible Assets,0.02357284585791442,0.028387473129631014,0.030589348337354827,0.031376082224213876,0.01108204921567531,0.027989621678078322,0.02259395009864988,0.06364396422221483,0.03661459485166413,0.026822152676545866,0.014761117583613762,0.027850998052865592,0.12065126835808497,0.09805383673927962,0.09283261191392266,0.061174512392232476,0.12202380544139611,0.11707150819781661,0.03585471717449855,0.03852862724731847,0.027330901242876057,0.0056291011324129,0.029422696158891322,0.013236793877954003,0.010406883451762132,0.033612953475011934,0.035730186739251116,0.026996940717323746,0.023204602919463448,0.025764382669798292,0.03829411550036885,0.029239106413747586,0.02624371427940961,0.04495275413839357,0.03227552653537458
  Goodwill,-0.060623428830270026,-0.0565831716912222,-0.03383936854784737,-0.001414331727930321,-0.06167926966773965,-0.021176721961009008,-0.022473738701913236,-0.02645985731193143,-0.01032847713968094,-0.051038453884991605,-0.05960014604840186,-0.05508641338263679,-0.01269171597087675,-0.007712433800577564,-0.043595857223139266,-0.014643430817902274,-0.04980548101120342,-0.05417304521892034,-0.04825911588952522,-0.01604084694030711,-0.05512301498055047,-0.05667701690188066,-0.05291753621527136,-0.050864418949253115,-0.050931475970233356,-0.05500290022164714,-0.05505276723874495,-0.05498571021776471,-0.026146856671056873,0.002248901419394875,-0.014038292028374148,-0.016445158468434473,-0.012426696299988934,0.0017000940526499596,-0.02545377993243935
Other Long Term Assets,0.015416042308784388,0.01999207554363454,0.026735391470678323,0.027165099445395604,0.006880978097789622,0.021108627733887823,-0.00594959775191581,0.019000163767731126,0.03351489646362354,0.08417660986636182,0.08820780952938999,0.04246654667735915,0.08209309551085542,0.08686968626476742,0.08926943154377524,0.07569636438471555,0.13849240075492233,0.12068573883150585,0.013860484115914963,-0.0005017897215254898,0.037193465006773854,0.040809131747603686,0.020285175201559775,0.009549141415894295,0.01079937828134624,0.03695449781019674,0.04383148659523761,0.042883782897058416,0.15191934185626638,-0.0024418087577787566,0.1169523571794485,0.12562496354096192,-4.098694759025433e-05,0.0013602234667693426,0.01104504752363866
Total Long-Term Assets,0.0020713422456725035,0.006839377262893869,0.06677931390183348,0.06291321698443557,0.01151533438320175,0.008124340266555816,0.01670714658180435,0.040768530657266135,0.04424790784479795,0.07808682790450527,0.07085731173244389,0.02427184845687089,0.10060805800005246,0.08342908123119783,0.13244985601682158,0.07222764248195598,0.10959374449159537,0.11632198745870319,0.02518079843919195,0.028389387434315242,0.02934747892110953,0.06964679334364088,0.07797042805777468,0.1088740726627826,0.06677275884216836,0.02260044669388642,0.019075780794306878,0.0241477562973918,0.09076212653405752,0.09232810060347482,0.10173403519216369,0.12894723386886406,0.046025828571232594,0.027424274245055683,0.05144177470067089
Total Assets,0.010462207686798437,-0.01047780426039533,0.018683447099120794,0.015567293164743146,-0.005947171794909126,0.008775431065391685,0.03171168734821799,-0.0035364947657004417,0.03036957455218,0.07521570059806003,0.002282022735095779,0.03332696609397015,0.0736493447129671,0.08994469075062492,0.09946106806220233,0.07429202099516376,0.10320384093330402,0.10184294003990545,0.0021888088247634246,0.022370064121236984,0.023026570595430895,0.069150893544276,-0.004348131443316024,0.10814460186818066,0.1067470346407759,0.023004872041686136,0.03316513099143257,0.024021026150218443,0.09237012253156633,0.06552313228832242,0.0650467347424646,0.012982587006726685,0.028957795005033253,0.025394766468596765,0.05812905263701165
  Accounts Payable,-0.006417221337984455,0.002863122954771897,0.10169993233495456,0.02693392163310227,0.092019151129162,0.018787229654208676,0.06235297866055144,0.07507329100493305,0.09091200219327598,0.011234792154282332,0.005792451522195898,0.02858205323291572,0.03487315195202175,0.032386705073577,0.03419088476902162,-0.028108790509016907,0.028740283727799742,0.023903853890204434,0.013470894705171484,0.02912934458905826,0.019511516322619455,0.02401321696874989,0.033379681797307555,0.0871404448015416,0.02112981801376108,0.03191801667792551,0.01732394687097912,0.02509519827579204,0.022983450707669786,0.09972394540774779,0.0894598412773037,0.11202286071201113,0.0009480419625716337,-0.009618981959178485,0.01109724426009595
  Total Tax Payable,-0.011023759829912943,-0.00635522095772947,0.012830184087127541,0.006480886438988111,0.021743344611743466,0.0029256169264978735,0.0790313144103564,0.0398098054863965,0.030918776243962713,0.00853106663583221,-0.007942890413787505,0.011481385689368233,0.02554282858678013,0.016861273982844007,0.034296694621985986,-0.010313681314892399,0.02017574339441556,0.018416702267332902,0.036033863610170726,0.015611448967240042,0.038040686840533626,-0.005430108619972226,0.009179152512620515,0.03439785095208279,0.004636827326675358,0.02727729353032516,0.004164622896448315,0.00863233073443986,0.021050105192687525,0.09031706881768704,0.03520172525402655,0.02085146364183296,-0.004972903166332552,0.00027277051850812693,0.01603368713232899
  Other Current Payables,0.008929595609733738,-0.010199980618852281,0.10034971918322276,0.028206481795529592,0.06071813018755289,0.04161625366224705,0.0026035478097233443,0.09085227824600445,0.08057714339070263,-0.018410077899689053,-0.02324267706271451,0.01183868960238965,8.243989802756259e-05,-0.000508011170878838,0.03804385033794903,0.08443007670152423,0.11079081793936553,0.11549165355885971,-0.0003386971088487974,0.005589446450550875,0.0024044754386158395,0.042187066386297906,0.04749131316390022,0.09877863257957537,0.01829118653991639,0.003071920522687187,0.06589580283796016,-0.003063131104311563,0.11080042824205695,0.06683149463173384,0.0548482142092313,0.07725405132891207,0.06253912278256747,0.05504926679727556,0.0777852329108961
  Current Accrued Expense,0.0016105750698446261,-0.01845074941718346,0.09139857495441367,0.022808079919540668,0.04720418749764219,0.0025467777024469293,0.08720481136870718,0.10277772597024212,0.08425764760439881,0.006055734981064523,-0.02550855235609962,0.006339041700630474,0.017920651544749623,0.02560929010927173,0.014389724871794829,0.002337937176288254,0.02426908765748342,0.02661057256688344,-0.0013262622194514624,0.05305351988422266,-0.0014598000657599802,-0.016370476432615615,-0.016556161812449784,0.026530767514269752,0.007385068243722356,-0.014867899197510298,0.05116846202550076,0.050312534653066336,-0.017792909670954506,0.08877014777569595,0.09546502300123248,0.04109428312140735,-0.005324886390682994,0.015905149642715905,-0.0016490059403358676
Accounts Payable & Accrued Expense,0.07477103367181877,0.004323332339854825,0.033279353341564115,-0.02934093448849441,0.09150457378949728,0.026697374748070647,0.059616274401023184,0.03275338961938429,0.055327737646978355,-0.0009926179006127284,-0.0031375868809057875,-0.009142673073497445,-0.010911649130126733,-0.02898044580256912,0.002172948775436925,-0.04064173481124853,-0.025782751110503124,-0.01691559152573743,-0.023244234292077788,-0.013892059920927947,-0.02139201984997334,0.056527225784252004,0.020883219933364776,0.10548360389542677,0.02550941823914587,0.027717206057948047,-0.006706809687284152,-0.02630293009993373,-0.02284400076693148,0.048274822469902064,0.04940209250550814,0.05570607647999616,-0.013525623688950324,-0.041062656009178085,0.02277469801082561
  Short-Term Debt,-0.012603390025168339,-0.013613377509195054,0.048635955043018035,0.04399685423669973,-0.0043963754990588,-0.008610021821923672,-0.003151609249241325,0.04044058985627741,-0.008109788885575413,-0.008777883358024605,-0.014399123217050657,0.003993574079016371,-0.012743413765065917,-0.02029722572944026,0.03749124471959199,0.024925282557856237,-0.017712680030330136,-0.009905287308835168,-0.02039582253694388,0.005857379931901921,-0.0018841835578274528,-0.010105056998345751,-0.012093597810404332,0.013693714545534596,0.02497387967621925,0.03647092717237903,0.030267978339878814,0.002393839466073196,0.05684063302765651,0.07905654003252582,0.15987076599938738,0.2709442285973218,-0.0020090137932977244,0.006391428493879181,0.019078513705782053
  Short-Term Capital Lease Obligation,-0.012797576362411583,-0.000931510845540757,0.028146458327954395,0.03362742404726234,-0.012227631427231971,-0.005650463224532724,0.023560589454152292,0.03741207372282486,0.034292298299859844,-0.0032580163791898482,-0.015924135658315557,0.013312593300130897,0.02915505453605246,0.04659982087547795,0.005259387872358994,0.0073822621936691455,-0.0007154134404784853,0.0032837002014032175,-0.005429473072846489,0.04418960789519706,0.01699274723180698,-0.027438258928769284,-0.02107679100597253,0.005590815581629818,-0.0007510468946217794,0.1154818101575343,0.05307211599415188,-0.008709805454346284,0.002868698235948333,0.08526059760141146,0.0923905160354108,0.09980413356277325,0.010031935671288206,0.006429709240601391,-0.001048854122018294
Short-Term Debt & Capital Lease Obligation,0.004204929649786441,0.015279729818289954,0.030896093664443562,0.033809612197348314,-0.0028677795925781935,0.0012399421025996592,-0.012481314002564175,-0.008676681351940028,0.02741491328729146,0.0018716619667185986,0.0038700615776217705,0.03797684044207364,0.040781857436817504,0.009766181864641796,0.034849484128895825,0.025852668024171188,0.016648563104854935,0.042012104352963,0.006727525155671659,0.05978034670621336,0.0372776336203633,0.054312503643451644,0.041766943138489485,0.03168403116799673,0.015147775316036862,0.08901406480845281,0.05864078905429566,-0.007267513693084125,0.07704022406568918,0.11436934773200291,0.21088977884506618,0.11477542541684543,0.012474526129015198,-0.008695572957393788,0.01595194430484237
  Current Deferred Revenue,-0.013878979259643126,-0.03281942196819126,0.03145791553148572,0.036586452635343374,-0.020545822856424666,-0.0035574855923370336,0.08613471833833711,0.043715477939011364,0.02072224148998707,-0.0036532464960832615,-0.021641954502035123,0.0003761103214808758,0.023193697246120103,0.02928034231564077,0.012628587205782608,0.0056955220425117066,0.016968790594406855,0.03135976586415194,0.0031235829520353197,0.022962793596589513,-0.010353108231925565,-0.03734106416457166,-0.03049552711596653,-0.0023308846052176686,-0.0028254548524743834,-0.0070437227874328425,0.002128108735446284,-0.0006582106726448151,-0.022178130459177606,0.051584782231091725,0.037375898590835815,0.030926921885343538,0.009740895312375424,0.01797089686957001,0.005427039895207458
  Current Deferred Taxes Liabilities,0.0015113789782982994,-0.0038693477023560873,0.04067939824915714,0.029019614553495065,0.0012914295770941509,-0.016334933136448144,0.09364636577820387,0.09102939263337433,0.03901145940076947,0.020546362990560375,0.0055595393426082365,0.00031185224711869383,0.023066469397243633,0.025011287472993016,0.017070313761327095,0.013691589936791732,0.00879805034328216,0.025537121452049887,0.004171386156381379,0.0452786718058493,0.0006548492719836627,-0.0011978389269453262,0.0023814786250231515,0.00989317048025801,-0.00167240451446442,-0.02543724493378689,-0.006202564395711139,-0.007385565544436186,-0.009510579147713869,0.08389302592440194,0.08416362489515805,0.08650319919404595,0.0041993339751176615,0.024444896983432832,3.0483915575119612e-05
DeferredTaxAndRevenue,-0.02842814640553631,-0.028630415370708793,0.01246817571520202,0.027839656826153743,-0.019877047383460612,-0.0002695212925622396,0.03298930720186079,0.03421403824988308,0.0029456752708394967,-0.018650762826005196,-0.027560981475008753,-0.02668009673950576,0.025920208286995965,0.033641667088072744,-0.0005810661758636391,0.016932509552937156,0.0021349454028631466,-0.0004903433943068943,-0.0002220987683821795,0.036608223213221595,-0.008600961867462602,-0.027913057524171888,-0.02027962818808219,-0.01829999999849847,-0.016682518336050244,0.0006879055812374639,-0.017363436870434415,-0.01566176987368704,-0.017226397804686787,0.029234893492266663,0.0417700728448911,0.04583941964308364,0.013180243359557038,0.005897475044879277,-0.017505252651453238
