,"Cash Flows from/Used in Operating Activities, Direct","Net Cash Flow from Continuing Operating Activities, Direct","Cash Receipts from Operating Activities, Direct","Receipts from Customers, Direct","Receipts from Tax Refunds, Direct","Other Cash Receipts from Operating Activities, Direct","Cash Payments from Operating Activities, Direct","Payments to Suppliers for Goods and Services, Direct","Payments to Employees, Direct","Taxes Paid, Direct","Other Cash Payments from Operating Activities, Direct","Cash Flow from Operating Activities, Indirect","Net Cash Flow from Continuing Operating Activities, Indirect",Cash Generated from Operating Activities,Income/Loss before Non-Cash Adjustment,Total Adjustments for Non-Cash Items,"Depreciation, Amortization and Depletion, Non-Cash Adjustment","Depreciation and Amortization, Non-Cash Adjustment","Depreciation, Non-Cash Adjustment","Amortization, Non-Cash Adjustment","Stock-Based Compensation, Non-Cash Adjustment","Interest and Finance Income/Expenses, Non-Cash Adjustment","Net Investment Income/Loss, Non-Cash Adjustment","Unrealized Gain/Loss on Financial Assets/Liabilities, Non-Cash Adjustment","Gain/Loss for Other Investment, Non-Cash Adjustment","Realized Gain/Loss on Disposal/Sale of Investment Properties, Non-Cash Adjustment","Irregular Income/Loss, Non-Cash Adjustment","Gain/Loss on Disposals, Non-Cash Adjustment","Gain/Loss on Disposal/Sale of Fixed Assets, Non-Cash Adjustment","Write off/Write down/Impairment of Capital Assets Loss/Reversal, Non-Cash Adjustment","Write Down and Write off of Other Assets, Non-Cash Adjustment",Other Non-Cash Items,Changes in Operating Capital,Change in Inventories,Change in Trade and Other Receivables,Change in Trade/Accounts Receivable,Change in Payables and Accrued Expenses,Change in Trade and Other Payables,Change in Trade/Accounts Payable,Change in Deferred Assets/Liabilities,Other Operating Cash Flow,Cash Flow from Investing Activities,Cash Flow from Continuing Investing Activities,"Purchase/Sale and Disposal of Property, Plant and Equipment, Net","Purchase of Property, Plant and Equipment","Sale and Disposal of Property, Plant and Equipment","Purchase/Sale of Investments, Net",Purchase of Investments,Sale of Investments,Other Investing Cash Flow,Cash Flow from Financing Activities,Cash Flow from Continuing Financing Activities,Cash Dividends and Interest Paid,Other Financing Cash Flow,"Cash and Cash Equivalents, End of Period",Change in Cash,Effect of Exchange Rate Changes,"Cash and Cash Equivalents, Beginning of Period",Cash Flow Supplemental Section,"Change in Cash as Reported, Supplemental"
  Accounts Payable,-0.023910655857583243,-0.014479954130937401,0.1093685663772508,0.11882619624915947,0.07299803296867946,0.07061615894938422,0.24898450021605978,0.07618333615816705,0.09907795550947736,0.04932624370873503,0.11948010532401376,-0.021352815005141225,-0.016288879959619577,0.004722840176123845,0.010139391930762732,0.020082873170107807,-0.000914233355446189,-0.0008291362687682761,0.008386820627470693,0.04925199399204232,0.014981243122170484,0.06700746519572114,0.012478355856252114,0.007272264970428445,0.005612573653284457,-0.014789951115445742,0.05369058474910128,0.021744338340388674,0.013253998997085053,0.012903370364106884,0.012295830254881174,-0.0172945139361158,0.03823517268984686,0.03581941323710128,0.04917581994846462,0.1451798011293607,0.09544359853091601,0.04229041544927779,0.4752134892456313,0.04848289436966522,-0.024345799928070903,0.007180279882373955,0.016036191524016086,0.031040829563545237,0.022650366640154598,0.014990852525120441,0.020306342217420476,0.052635824988797486,0.03906462485544375,-0.011816448284024311,0.0481733626981609,0.052909348627627306,0.07874659421987458,0.04421305199687568,0.03163585510088748,-0.0021274756499350214,-0.010438161001766654,0.041591009587447984,0.006996714756929001,0.01809000647125862
  Total Tax Payable,-0.024303291685260298,-0.01963475281307682,0.04131436958976286,0.042568943146309594,0.07373853896426863,-0.00016981799487802724,0.13524590330328928,0.059012980072775764,0.024051377296215207,0.067291094357781,0.05758667244406333,-0.0217284115379875,-0.019292464675909893,-0.0014761253717468425,0.05754754608907654,0.022554221608689605,-0.004888436019020135,-0.012125714238880897,-0.010001418337095867,-0.007894701992528043,0.009660184374880946,0.0635872308106942,-0.002336364762866763,0.021907641148326912,0.0019410762119734938,-0.020823654499317945,0.0880156714325552,0.010744677729348952,0.00786999404125249,0.02125826700060033,0.0009567120472577053,-0.00865097124133456,0.038719617118832816,0.03924236035882643,0.04708646656904976,0.04368215354313017,0.09949432845925148,0.048505746676047706,0.04465162950085179,0.025659280330737607,0.0014875006548189249,0.008376120826749371,0.006356041979220012,0.04310170663677588,0.010908201108357597,0.02343334207344533,0.030967385662326558,0.042669324011015544,0.04359720484885383,0.008711998852032457,0.02403077492621236,0.030624958061047786,0.09035277114565608,0.03385947982699091,0.03201898443583567,0.008768903083665451,-0.014538804178794062,0.04839665740915072,0.02477829591373329,0.0183015116778839
  Other Current Payables,0.0027577865905761756,-0.017747464899252167,0.10813016241754803,0.10359910306385106,-0.009884898293853629,0.055495961179404966,0.11782839393777737,0.12026343504222126,0.08522841383988282,0.028729892688399577,0.12163683146869567,-0.005600436689239078,-0.019818610483154843,0.09531571741857432,0.07985720118373771,0.08782477088357973,-0.0039280200892236414,0.010103734299221838,-0.037594708726879936,0.10321454669119276,0.011202543669482218,0.08988803743509956,0.028148818220166003,-0.017343091182831016,0.05664991314449001,-0.012004467279297269,0.037981272061435534,0.05773186653412094,-0.008236842604887305,0.023318868857235532,0.02460227377243186,0.07977263968747486,0.03751837683023617,0.03324735397565323,0.14764262187596966,0.12009826329245048,0.2972453092686999,0.1531055102178058,0.15304292406369693,0.014321465348526097,0.13358560198947542,0.015957717417170475,0.010103338730864254,0.04955860821058119,0.01772565874650668,-0.005186549913992181,0.024685299405008305,0.03397581418184359,0.0413978518268567,0.0805278439851152,0.11381237773421704,0.1082317754326137,0.10610914458636488,0.15817671096385547,0.10536207440199172,0.10073882874140619,-0.002514694177206762,0.1135762317492416,0.04446507479238174,0.08124189049268925
  Current Accrued Expense,0.09721304411501928,0.07342073395275313,0.07933847925004055,0.07712433990429347,0.042380321937183385,0.07781151798456114,0.043264126242372275,-0.006900752175370707,0.06579598646034256,0.05254604741037345,0.04817525459953223,0.07639659816397827,0.0488322468563346,0.11154497866752672,0.17536195088723872,0.07284260182157391,0.004000017458845122,-0.0037220526098734647,0.024310974893624864,0.0862974585962177,0.047508922316771264,0.18316311668901833,0.09849319795146788,0.01607587204499183,0.04337397591245175,0.020437618844860672,0.03559999718783752,0.06387575778909907,0.003413772081627021,-0.006986094581087991,0.02051449537536158,0.04407731392739665,-0.0033190899317728836,0.0205457024906269,-0.01200217974892599,-0.022122686506269317,0.21703135831229992,-0.037775129676422804,0.040109744279128265,-0.0215344909711898,0.12779090521515934,-0.00487316979340286,-0.03780808892851607,0.01905381761385162,0.043949442977095174,0.04681551525931825,-0.04347446800476287,0.03809797918146762,0.014070126769621081,0.012808229843331624,-0.013215575207198063,-0.023012954126487878,0.0009536886502972963,0.06682265686505034,-0.016024683754307073,-0.04153621938854919,-0.011750848527137175,-0.011420458152040337,0.018677972632153483,0.0194529554320765
Accounts Payable & Accrued Expense,0.07490221816266487,0.002983021945063704,0.07335628926258206,0.07727711299154821,0.07268544844631764,0.042356522533626643,0.10405909782133188,0.029590828009873442,0.09980297589311798,0.08471703917037987,0.09520664917005109,0.016952475064661916,0.003907854438427073,0.023450885473580624,0.010741935453420049,0.010182589573352484,-0.03355802805457849,-0.015524066904825908,-0.012193776635385492,0.03474168192179507,-0.007507648590187282,0.0907141987833807,-0.006833112911318405,0.019235926116944822,0.012574632560603751,3.9727521248229076e-05,0.05429786439281725,0.040882285384037376,-0.0291148832421497,0.02253563767253831,0.03882991005199715,-0.023302424203646113,0.01248208883774054,0.019365325752037123,0.032232442895886684,0.11709960365372175,0.2611987113665843,0.05834756188635983,0.12086633670950851,0.07368346301186238,0.01515160545539683,0.0134165836127807,0.016169391110148652,0.014761851155036091,0.02125857301844304,-0.020696294759684108,0.03513674038901871,0.0029095556985072003,0.007958082823136054,-0.037133518817156305,0.07843906511623153,0.04128668489792563,0.09622702809233796,0.02397705703812137,0.0180949133453307,0.018332495686080384,0.009076199433557551,0.01023166677326589,0.059250942501959114,0.013242081693713038
  Short-Term Debt,-0.028244262123218514,-0.03164215463350972,0.01065983942296236,-0.008102444122762571,-0.00779591555637186,-0.03497736992898143,0.0875074871846439,0.06632222252484518,0.015170674585041292,0.01830881637224665,0.004351461143694924,-0.01895059726009539,-0.03776797048475857,-0.015418701223343594,-0.008015313453904953,-0.019490788565785747,0.0683368972612887,0.06703926490652412,-0.03461286112999364,0.13037280300740706,-0.01808783502075344,0.034648385850784905,-0.0280441249650877,0.03102697818994418,-0.026523819197141744,0.0008389966777743897,-0.03237341167231669,-0.012957548465244138,-0.03344009510988321,0.025981131920453007,-0.0018059616281978965,0.0409326999121435,-0.010505652762265092,-0.01516719039125702,-0.005433019802314659,-0.013333913456726874,-0.02410690776908293,-0.013623833857362364,-0.02018599262903254,0.002465720811261767,0.01445057439733244,0.018524667946780458,0.008645424494161367,-0.013489986079162934,0.014221302682777801,-0.010893268482784947,0.009179819605019821,-0.009884588023792707,-0.030851551029230543,-0.03183835256837088,0.004113793906355315,-0.007059231994015423,0.021909152903328545,0.06444870523087025,-0.03334926063540747,0.028265580988062703,-0.010295604624674937,-0.016275686426310464,0.004167276870753436,0.026406661011475575
  Short-Term Capital Lease Obligation,0.08379791429669385,0.10418100200341121,0.038070878178369495,0.0392478326063778,-0.01712007499280587,0.018572834733200864,0.0007362020650646178,-0.0007841741829510522,-0.0021329793186737893,0.0025095762411816293,0.01973575060885679,0.09307199624089783,0.10399256154099049,0.09824288675627782,0.1084964286300588,0.10877438986295072,0.01830961020231236,0.015576608821973169,0.040439921919378854,0.035926987091618755,0.04869702081122646,0.09369576193291637,0.08377495449425625,0.02893562058943125,0.07063907511403075,0.11259173584790372,-0.02633136824552275,0.0228764116818771,0.040471762917250347,0.08474604300174435,0.019803872675958706,0.03363433869748221,0.04673336580583577,0.01994269815492289,0.006996737783988482,0.0035250234889882834,-0.025936015719395526,-0.020274940041625333,-0.021901805899832864,-0.010520543446623492,0.14374516752338654,-0.004400512480614344,-0.008217578817503983,-0.007027836415966588,0.023968309148554686,0.033086407281052096,-0.019159769633646694,0.05966083544904654,-0.010631362046620015,0.014641853736242688,-0.02132246067585658,-0.023335435268568586,-0.005539340641332395,0.0966820280038188,0.007808250207693529,-0.03985981716339423,-0.00874381897722776,0.004046116448303468,0.03401813619573141,0.053838026406147585
Short-Term Debt & Capital Lease Obligation,-0.025952229887398308,-0.014145597321031642,-0.004529836432143233,-0.0020580526162903715,-0.00669343363009547,0.02068038095255317,0.07887116002020648,0.06769443278942981,0.01686278945380867,0.0063741373603452105,0.02625721847908284,-0.02534485332960875,-0.02289280605357094,-0.008672293938503425,-0.02185945098986141,0.014325895159387753,0.0570203260829669,0.06378963600635153,0.03179543134551374,0.13525933577532412,0.04580406379096009,0.05406403328107674,-0.0013963073949474383,0.09083692142744779,-0.02249019083754444,0.05016232373444797,0.007620414776945249,0.011056310567688013,0.07563224414870584,0.11491653014888573,0.0007582744980655469,-0.007808290402932042,0.0449479049667875,0.0027609585552913615,0.013318798973074156,0.006869755022467891,-0.01965771330365788,-0.01673165588023594,-0.016261752049709727,0.05374604240752779,-0.00534803809781636,0.019560665974566804,0.022257445833646437,0.0055209943417739125,0.042168488252103176,0.023446810558027095,0.016604693479734985,0.0045279496676647445,0.0035264163384930844,0.00806927577169994,0.07066790466847148,0.049534418727850485,0.01721924248486676,0.08042320240913085,0.017155390757794924,0.005545139206862365,0.0032125560287904484,0.013367326826689514,0.024268700423060438,0.04103243410223045
  Current Deferred Revenue,0.07764947814236639,0.05136078013521442,0.019702791467617903,0.007061871041117775,0.053141446558384056,0.0144834475588906,-0.02647907013625952,-0.01325016941929901,-0.019293107621086873,0.05150002754318755,-0.01563238654781246,0.07280533869085719,0.0434702398994176,0.08295490871828227,0.1161362651033733,0.0794458313059264,-0.009096265472045416,-0.008067424031603543,0.011128189928197457,-0.005997797578720265,0.019336711597766183,0.16021027054815004,0.0950594989125123,0.01748533987889782,0.07664945240951998,0.018375968916093485,-0.017786434155890013,-0.0035769328599139167,0.007885682401025072,-0.004964686889894198,0.020771690729065196,0.05221227219444252,0.016700450549082705,0.031068827420554956,-0.012566366553646416,-0.023056469763993042,0.04585964132301581,-0.02539908704649852,-0.03541219862034749,0.057923594666957776,0.12079446392988412,-0.011755077199556404,-0.03414141935835357,0.016092692459204888,0.007188501595496234,0.044783682947919116,-0.028792411579936686,0.05786451482904721,0.0167728240954532,0.012736927042974557,-0.047620232348914035,-0.04716229265703019,0.011701739577703265,0.05549360538432181,0.008253422857527861,-0.02848293423889763,-0.006810461913659482,0.007345868387605925,0.007234891064430539,0.0055702912573581675
  Current Deferred Taxes Liabilities,0.11017667018126893,0.10152873492125154,0.04826164414769709,0.03620310780288821,0.05873751700952548,0.02625778867556523,0.018490059382482833,-0.021866525609329467,-0.0036605481400483328,0.07696827296986263,0.022009885487165717,0.10823127641370073,0.09315511126566972,0.13945399937657937,0.09549376620447293,0.08211713383434005,0.0749744750835402,0.08001145159118099,0.012979483619694126,0.01755712978015228,0.03720046447445185,0.15247305888534807,0.10195827636033987,0.10999277656106526,0.08081053601071829,0.054444431412510305,-0.03671021233787754,0.028302159653098232,0.01530581128775044,0.0007956614855332261,0.015404857636891752,0.013187512541679127,0.020925948163641052,0.015394992503910937,0.022388676260574083,-0.011192815756906702,0.0500085088325091,-0.021308276376264326,-0.032729302635890814,0.024616392104453995,0.1243519541792587,0.06816647643569222,0.03390878100469937,0.01745949071780364,0.03487852727531314,0.037066932208173496,-0.025323823048273644,0.04178518951981586,0.01088389680866566,0.02051672615614308,0.022550048439393698,0.015057977175721132,0.050139610443841444,0.07472876265302715,0.009743711780101496,-0.018315695124942626,-0.010814533067707003,0.003771555820908447,-0.0020972661052662614,0.01709702845691693
DeferredTaxAndRevenue,0.04053076967657898,0.035350776721990655,0.019490856049946027,0.03856952429948075,-0.01372009515472625,0.0005546211132567546,-0.01648826562285792,0.005305451003533317,0.009782725080704421,0.02276958773653194,-0.021531534990490705,0.06709899801470118,0.040682085016784664,0.08216427411221039,0.11529862426289687,0.06285169277340281,0.01550901123931189,0.01890422658752435,0.016255422879522557,0.022256075801260867,0.016765802541204463,0.08619970089506607,0.06553067316543335,0.013025727705924013,0.052682507509540344,0.014650620916598859,-0.016751562300255405,0.004490176033297695,0.0026254610835499265,-0.002600671377880062,0.007036877353106305,0.052385330234029935,0.01630344381457472,0.03356809149091424,0.0020810398382113573,0.00840288729839535,-0.020534838210871712,-0.018218521007780934,-0.017944276338923086,0.07009743432426693,0.10446961646686374,-0.020055599127658284,-0.041628763453432256,0.013548908281474585,0.014745170960849046,0.045135486023208375,-0.02377918270765899,0.047876751179460234,-0.002809175947977187,0.02338755274174405,-0.041847440006023445,-0.04818782732178887,0.016887933303674375,0.05823189476638862,0.0148885406493939,-0.03980670948938856,-0.012710903354054243,-0.01753254501064765,0.029152858970347913,0.003287902518173735
Other Current Liabilities,-0.0008435372388336236,-0.0013653259222413381,0.05130406356445391,0.03736743317229221,-0.0020628999479591465,0.013766736738858356,0.1775303584840226,0.10876646582348963,0.05956832177603834,0.05888911841451339,0.07814205154025985,0.0008987704343508046,-0.007949723753118346,0.0225570877377604,0.0014231664881272487,0.005349553508815183,-0.005067578187467441,-0.0019796018132387603,-0.0016286904803840892,0.05574935088861507,0.013383159822253262,0.038413448228609245,0.02295418250477655,0.10860184155053222,0.025164127521816654,0.03137404628537612,0.03725069785880694,0.015398270278302978,0.008922887941319289,0.060326874083788215,0.030544311129314817,0.08263624138450164,0.04487994937545302,0.06078063700206496,0.07732809693036678,0.05220259663005693,0.08047177155277181,0.03009495856860274,0.003433651232279649,0.14263284354032546,0.05251064063580704,0.060521696655431056,0.05459516734007321,0.030172211871215392,0.053388360091351825,0.011024488846059959,0.03388637719018979,0.040639766056775224,0.05173949220840719,0.03348121469318865,0.0663833005328616,0.060163125397823355,0.038006538538336514,0.1516537783987204,0.04757001255280904,0.026641450725386148,-0.0007645865026514377,0.05398050609520899,0.046037733244841714,0.03887693307649509
Total Current Liabilities,-0.003586881410100277,-0.004598689486133779,0.03169675184112162,0.01630586017987326,0.010351079732737158,0.0030592015520914785,0.05433076264541868,0.04665348613986932,-0.0018637261254376724,-0.0008129212372937926,0.038844108225405446,0.003938100770325843,-0.005931959453210559,0.05131427517324252,0.02300052933966823,0.0529716492739075,0.023132966275621752,0.02900425366236526,0.002903050340794973,0.05283799865017236,0.02456533234295019,0.0324116970906539,0.03215940914640555,0.11464688524403432,0.03549925952762493,0.03535410684024518,0.01110049560635549,0.02532956554038487,0.010674102598362878,0.12304609781064084,0.010298004003423143,0.01600175182776435,0.020414828772310517,0.0336264221624222,0.024201725874856854,0.019536118496206817,0.09203375516201685,0.03009831445030614,0.03184761301545729,0.12206605253436578,0.027314954789506882,0.020642663373850085,0.01557939979411862,0.030185240826332914,-0.0006380045841985656,0.02834139432545775,0.003095468384712495,0.021936526635241604,0.028382837305331293,-0.0059206282183287984,0.03602817594973705,0.03075428288819187,-0.001630949633899792,0.04764376252374116,0.022210000964023927,0.003758956154068269,0.009814669508870761,0.030382608923119198,0.056963683139196516,0.025575174998574306
  Long-Term Debt,-0.037552448507916364,-0.034870876310651215,0.021248712478153367,0.005700961079590563,-0.006541073117015671,-0.03418693344152508,0.09083931571604029,0.050789686618757005,0.0031385843574944627,0.0035307853752265493,-0.0046839070171744825,-0.030926755954445585,-0.03510041582906812,-0.024319055104709886,-0.030840732244893476,-0.019230528734522488,0.002402795704600605,0.0010557657944764843,-0.03141831229957644,0.09202019060295769,-0.019850124503455097,0.02900652605695439,-0.02397416579069865,0.025976425776927606,-0.031016244871182642,-0.0011970348079727135,-0.01791884879899916,-0.0059212779027561415,-0.029481164034712,0.007524121252439734,-0.008949111455060412,0.04163361537705693,-0.016286111239026676,-0.02113584507229855,-0.018169162079908416,-0.02126189652231424,0.02145913717550261,-0.01095234044825933,-0.010639284450694186,0.05334198140386658,0.020119324565149144,0.0025721298147922097,0.005324735763834074,-0.017796584002449947,-0.010856253321495046,-0.02555473734277071,0.007747125319781748,0.0016668534534612636,-0.031747402462617064,-0.02990882887693439,-0.027837811892048224,0.005038491547632084,0.008822913684304535,0.06567212674546226,-0.03284340871825628,0.02743599794314277,-0.003270171519444505,-0.02128288346596764,0.0015106274328080481,0.023366516623496685
  Long-Term Capital Lease Obligation,-0.06997436469790927,-0.05001199517341176,0.07193281365755508,0.05865041311921543,-0.031189486130064482,-0.01175021073940567,0.015280422629767849,0.08806626188644774,-0.022015427137466112,-0.023667599690501973,-0.0018969624298130765,-0.06712005262149473,-0.05374189579977135,-0.045580821229645706,-0.05221826632847615,0.0015835303225973756,-0.013636279274238283,-0.011013002316756774,0.016607217052096387,0.010556992713508337,0.013886834355157975,-0.024104718599407084,-0.012215217076866007,-0.019330063058781592,-0.021361989944339604,0.013466263343123477,-0.009224366136060664,-0.003750360250932149,0.0056009008793217,0.0639434117891029,-0.04228951613270281,-0.043674663013587404,0.09628503753112645,0.04139532963261907,0.0028082939833278713,0.003208343532766225,-0.01968698189574606,-0.013825509447649273,-0.010898386349108037,0.054210371219873286,0.012068953232892254,-0.022585649036015704,-0.024281027654319654,0.00956272753193415,-0.009054616112972463,-0.004675238204617046,-0.027900701375236717,0.12186090166351093,0.045339677451675844,-0.004198188413403439,-0.006061829146428107,0.008889591161923394,-0.03900872898850478,-0.0008557095105364764,0.041445287198719656,-0.04488935511645021,-0.024619601275358036,-0.003689934426218929,0.0416182725892407,-0.04636293265586014
Long-Term Debt & Capital Lease Obligation,-0.022684154073156448,-0.012706021966821225,-0.0070918569336238906,-0.002966849482104108,-0.012046964731863393,0.006957430072245885,0.08021738352664368,0.06437768781851679,0.027608166314633545,0.010400719722825687,0.02447866577605403,-0.02088028682025597,-0.020728413130886546,-0.009508521859761969,-0.024050472383245765,0.006969921502445571,0.049736648992749724,0.05913907754649098,0.01966716531219593,0.08773313109017494,0.05286103108894127,0.05487335121795863,-0.008282994117497822,0.09195918385563516,-0.022107933535610073,0.0664621556507071,0.016718348462005327,0.006375367738632717,0.07184095004380844,0.11711579194300457,0.02065254368342235,-0.020847065624377045,0.03795904063942092,-0.000914242282391761,0.01781750296305749,0.008546133329660723,-0.020066091772756877,-0.013988192525629224,-0.016076580228840297,0.06372160853482714,0.0020167649741588477,0.024084814508640254,0.02477892206592192,0.006177460080641186,0.04428091468030731,0.022297381940915184,0.021711120751944514,0.021719119964373708,0.0023642537906341504,-0.004181042167949608,0.02486349218161528,0.07537187956415783,0.008715401013496594,0.07799599037574717,-0.0007345810745486223,0.004482861251378958,-0.010283883548253778,0.012835816474391254,0.04843747009925764,0.03056043049347075
Debt-to-Equity.1,0.006276213929073255,0.013386282138099719,0.09693410424324504,0.16277541995955258,0.05646639100979455,0.040221391357502516,-0.016975867341175666,0.0991806851905785,0.01013329160687255,0.0021875852654065853,-0.011027014304018503,0.00664331177325528,0.015269299576011159,0.030924474895527902,0.005057548833655147,0.0397929320166245,0.08158122065001326,0.08320362955216505,0.0708254991273205,0.0705712862462893,0.02457233795824168,0.05727409852006244,0.017415627212675575,0.0690003984693656,0.016271850384497903,0.02059317299759679,0.012059117853484735,0.04063871354136417,0.05707869163627027,0.10958068152169445,0.08566108773458704,0.08279318506143549,0.09763725341317961,0.0904947647220861,-0.0009280420178228063,-0.0077581810573435035,0.05746815358903418,0.019140491643353803,0.04799082925206865,0.07803420422537288,0.06440357758016282,-0.025755354459617,-0.02894044989516198,0.09163969628017092,0.08272314497097889,0.06150482412417979,-0.05968499461609193,0.08751591213123822,0.11520818857878919,0.033495324990795806,0.05195264975050013,-0.009798159402072435,0.015583289418540938,0.03457041874294139,0.08515640905047095,-0.03789536606145124,0.023463571542140935,0.002174657446091707,0.021964477231976316,-0.04528013771589093
PensionAndRetirementBenefit,0.09397003605678791,0.0946727924110222,0.04102938881933971,0.03915878555858356,-0.010186217859775006,0.022975168229513426,0.009105040359521309,0.014752090532466865,0.012132998641125044,-0.010890696382691523,0.008285447079341486,0.0890675519788177,0.09441627481592366,0.07918796230574783,0.19388416196438726,0.10086788982479844,0.029678988654859503,0.08282922038896218,0.02442060869005203,0.09719214265343842,0.10608455245299196,0.18251886934654796,0.16941183276896646,0.09332408576560959,0.1582560141956241,0.04377478851549696,0.03141999047999735,0.09051530484945447,0.016596196675420283,0.013733746260552782,0.02096832771138888,0.048716452755411574,0.01208542376509398,0.020977405944609957,-0.002204501412627187,0.0005477219518145527,0.059401546195798606,-0.0229540623599474,-0.026198633561002847,-0.030836901301186437,0.12943391666896484,-0.009639603034701155,-0.0027426192880156087,0.024803694401025443,0.042995645342652086,0.03952861959281937,0.013903094143093923,0.047973889948909804,0.03681269724707381,0.014128457783934751,0.0022587409679189463,0.007575942858402447,0.05833273577062899,0.07997021157360817,0.01603833819337208,-0.048149448961150663,-0.010682052039740333,0.006727231601864964,0.025729133324464172,0.04445991448047966
NonCurrent Deferred Liabilities,0.10654566651373648,0.10095622646930254,0.047341676913535864,0.018698426584367753,-0.014125587894044332,0.026015875833237983,0.016677404534633632,-0.02219068889862985,-0.0033598557423505744,-0.017100154284896966,0.021441923893874802,0.09979015899567051,0.0937672915067023,0.11327896302059937,0.11394316396111943,0.09369353231092681,0.0556129277366271,0.07360343397100333,0.010368518999784863,0.08972809746810476,0.04592880576819436,0.15738612280683645,0.10629088233695026,0.12194534824703242,0.07395385474875439,0.026962388450307333,-0.01375996237790941,0.01423410976874124,0.030776415238786138,0.03884477504925118,0.03438595866517108,0.04354195618360482,0.017183233545710514,0.036426024264199656,0.03393814925573058,-0.010007699593503706,0.042561475797312245,-0.020075965250979357,-0.021885083152805396,0.10423383333230622,0.12131959957422236,0.03974027732268764,0.03312130762659783,0.013692667952200406,0.0358865016256077,0.042097653577327886,-0.023950870726846638,0.041968236875656435,0.017965094215018865,0.02069237580616655,0.021994928811498605,0.015375959115408802,-0.019861826200496018,0.07438952816157497,0.009743711780101496,-0.02450569366956281,-0.011566815438590018,0.010690028382790422,0.007627482110018159,0.02674205549679872
Other Long-Term Liabilities,-5.1118735274893225e-05,-0.0022385212861164255,0.033061680009257945,0.01908373367952898,0.0061809745232995015,0.013246931295211107,0.04638636851494373,0.008785793497112948,0.01956551516404328,0.02089674702828614,0.041345754668642404,-0.00012868271652941238,-0.013562064380426734,0.032512533750892865,-0.014485437246077027,0.010601605001386051,0.026283699168279166,0.029621199897255444,-0.015326333269756968,0.11069507927390039,0.012957787220219048,0.08383990406642117,0.012354123100224351,0.10414077792071948,0.025855308211080355,0.03150186118850974,0.02623129479408032,0.0004941500448848511,0.043939403650726724,0.10616436666582008,0.034515762500155873,0.06655731155701156,0.01959720166637135,0.014488841422446006,0.0402443789496645,0.014157034139567223,0.08125204901386544,0.040227965186554485,0.013631544551766633,0.16029584976149835,0.0499071170307267,0.05018607326702485,0.04081458855287807,0.007434743669308319,0.013380500832452047,-0.001963585609937553,0.04449807513943255,0.011550303336845879,0.012593423251217338,0.025859291789054748,0.04270876195018283,0.02666327151932142,0.02157767430220454,0.114966144088541,0.010752072587391387,0.03471728832442792,-0.0008731709777958074,0.017948905855939574,0.002769033310784504,0.02336856238141694
Total Long-Term Liabilities,0.024892957281139657,0.017206293393628887,0.0504482409310468,0.03873738975793037,0.0046835909624709515,0.005177822406570384,0.027615873333896396,0.0008970928109523629,0.05739534799195991,0.05861091904735183,0.07554712008227923,0.027495796067744632,0.013349273844251146,0.03245942414591992,-0.0059829355746923284,0.03590184930624224,0.0026554407736734185,0.00790817512115508,-0.013370419915976418,0.10781366974499412,0.010213167523584128,0.04657063118323198,0.009878380208682577,0.10372804367612669,-0.0010569851397416409,0.01630028834117484,0.025898308802897913,-0.001980356147902918,0.03393726263005666,0.0990457124704455,0.004844167496861286,0.026036944083647012,0.048895502986818065,0.053568162060920285,0.0452873887329402,0.04554943052215463,0.09715251876849755,0.027229581565895538,0.02537968536263751,0.14019159217915814,0.027573184678263328,0.08867924179764185,0.07788180828408793,0.054874136391338674,0.04210175931730488,0.00821026517495812,0.03569498846444733,0.03549618205627349,0.0417738379322811,-0.013218235086055852,0.07521373369627934,0.0582263668819144,0.05966240170119335,0.029830890322017186,0.039580801885348064,0.033436594348546386,0.006250601588478254,0.0444939299217738,0.02942857559142849,0.0448998603621666
Total Liabilities,-0.00045880832580448474,-0.006306024064078342,0.024672173921379666,0.03076623523858906,0.014833074444681339,0.00901210736965074,0.04792917031353652,0.04855889908205234,-0.00026832547560478757,-0.003877848062420035,0.030764697214398517,0.00040294543118235635,-0.006803394508645442,0.042438002674776425,-0.014025005666194041,0.04198145174988686,0.020772704485294335,0.02198412522284069,0.004980140772039404,0.033524790586110194,-0.0005641368656908721,-0.0022154474586662015,0.0011874811690457438,0.09524914674122642,0.010837615483303344,0.024496689350967934,-0.013948984261676983,0.004818110690060363,-0.001886362322606809,0.07305173911977654,-0.020453924181867034,0.024994418339816988,0.026940011612046882,0.022067208681729008,0.014398797649664109,0.01455049329798452,0.08985796497461895,0.03491375812067509,0.03149756011929577,0.12389866957575592,0.030339223998911535,0.027904430343980047,0.011805275250686682,0.025366916557985588,-0.008307573928936255,0.025164651903041478,0.0029883353955110457,0.017286242851788716,0.0176311660113909,0.0018409899850208944,0.03862167304568254,0.028346300683651293,0.0034451309796924095,0.025559988013318876,0.01748404591407558,0.007811276820264107,0.007319949876580266,0.018663088552743515,0.05600515766808352,0.005865087286473231
