,Total Assets,Total Current Assets,"Cash, Cash Equivalents and Short Term Investments",Cash and Cash Equivalents,Cash,"Trade and Other Receivables, Current","Taxes Receivable, Current","Other Receivables, Current","Trade/Accounts Receivable, Current","Prepayments and Deposits, Current",Total Non-Current Assets,Net Mineral Property Interests and Exploration Assets,Total Liabilities,Total Current Liabilities,"Payables and Accrued Expenses, Current","Financial Liabilities, Current",Current Debt and Capital Lease Obligation,Current Portion of Long Term Debt and Capital Lease,Current Portion of Long Term Debt,Other Current Portion of LT Debt,Total Non-Current Liabilities,"Financial Liabilities, Non-Current",Long Term Debt and Capital Lease Obligation,Long Term Debt,"Notes Payables, Non-Current",Total Equity,Equity Attributable to Parent Stockholders,Paid in Capital,Capital Stock,Common Stock,Retained Earnings/Accumulated Deficit,Reserves/Accumulated Comprehensive Income/Losses
"  Inventories, Inventories Adjustments",0.023314863708740415,0.08646582923252055,0.14419055832317845,0.11110753140044546,0.04017183505058121,0.1746654807497263,0.06104737601158858,0.13275234840058683,0.10306852737283116,0.09434154240776145,0.10491863948683305,0.1184270769852377,0.1052785848687262,0.08527461852178977,0.13063555436919763,0.12981498898122903,0.11378103362553298,0.10603467467092746,0.1111778382696684,0.1063330783035078,0.1114478865172568,0.13535539482027759,0.09868762197823314,0.08776277367135593,0.12802253164431726,0.006175983090929549,0.06073842814276149,0.027411284297691282,0.006563037957831705,0.005924150917652926,0.0704862353997234,0.08167642069788499
"  Inventories, Finished Goods",0.020905121913390688,0.02957484383246339,0.018419521316553354,0.029428269851140706,-0.01408091776525882,0.1344286041311124,0.023123663111340034,0.1038851608043338,0.038189871450005124,0.024096279717604287,-0.000160224378739159,0.010856811077696387,0.020855200850937953,0.04626922722950247,0.03741872577313846,0.09229516662296865,0.05736635687992718,0.05570493930841999,0.05352742841533751,0.055523313291363986,0.06501206946821145,0.07923538559986286,0.04282764760010022,0.03142363099602175,0.07407008873586758,0.02785296807733048,0.025871651173037455,0.048974843608297264,0.03518613456803,0.03358972026319573,0.04504612668208597,0.04453928657669799
"  Inventories, Other",0.03483436003224272,0.011823629606684401,0.051908894310243155,0.04490007505166707,0.02613031747768283,0.12363936217756567,0.01286608396131134,0.10800441198310459,0.019060342442848866,0.011722531823333186,0.06029484381407223,0.04596146713154674,0.047304950006547136,0.018330114503323773,0.05313588960978821,0.04709952482934241,0.035657209812501825,0.037736831664419594,0.02614573302283884,0.048038244107709537,0.03601581305931288,0.04712321646206188,0.033103615942432524,0.02407652429909534,0.04609542757407851,0.0363327234073718,0.0318199623270502,0.044647819363948286,0.042290133568039276,0.04345332878495369,0.043539761090291625,0.01321297349858605
Total Inventories,0.13177831350832284,0.1456161881328194,0.012785357091243116,0.002565398855599734,-0.007949743501856295,0.030684179110325713,0.022654525570301214,0.034478258124669925,0.01983894230570984,0.019285735666623265,0.10302481007895695,-0.000962388227399267,0.09898598907828551,0.06932227615046023,-0.011610867181505127,0.07047484347798535,0.06188533732467829,0.059483844573674526,0.050965641878745464,0.04781652843041131,0.11147225584480544,0.06064982521046844,0.053028457479955514,0.048892550366842334,0.06515190893010896,0.13848831709738746,0.038858914226887115,0.06915560088606564,0.0660965099300917,0.0435595528454619,0.06007777535202721,0.039066586864891374
Other Current Assets,0.18973749143880464,0.2845961497650806,0.11145300774296303,0.04654210931953855,0.012089522042119874,0.13054951374090737,0.048323864450485504,0.10406091536393144,0.12923555393000968,0.10974999260425274,0.3014320675586764,0.13570361501627265,0.031791461062920974,0.12871593603785733,0.15154732928661524,0.124866394558069,0.12970162309208585,0.11422678366917569,0.13095278617602962,0.1324374928642401,0.1335270123733656,0.11005096306569255,0.01511482004679208,0.01287357096797696,0.08032292381033947,0.016428192574876585,0.04130022750709511,0.02621348142225581,0.0018405769417557966,-0.003447057265386225,0.030228467378867686,0.09253213397214616
Total Current Assets,0.48866163441293897,0.8975046409753036,0.05665799562177551,0.00086178155780838,-0.02279295794909164,0.12956522967475506,0.03282383308334325,0.09100780432109042,0.13384434294772365,0.08768963312188209,0.2895535615228,0.031068833190143193,0.09369933531705861,0.08799504041137192,0.08958632551934222,0.12324857050428344,0.13587157430717808,0.12915578441658548,0.1319709240746371,0.12381883567519748,0.13479596025856688,0.13528408140283668,0.07166219991937588,0.03919052822305906,0.0667565778448289,0.08288637203694017,0.0008944467446795629,-0.009594098286395044,0.017027767490846127,-0.017077418647828687,0.06437580371698295,0.08964053594719552
Investments And Advances,0.019166924487824272,-0.005320223971233818,0.1128124625118067,0.064420973082205,0.002767543165934716,0.030554469883404087,0.05364373860600925,0.053093568956455894,0.03425693000494499,0.07842350971705396,0.03605703383161076,0.034145103918661435,0.034211932223326455,0.010678287623998542,0.06568555629597657,0.016373618274999294,0.02315919273439511,0.017541534918120744,0.021714093900575274,0.013773069678951325,0.009947243973354381,0.014235125955620388,0.017411177652933187,-0.0017395815149915542,0.014002530034605356,0.008404808321969801,0.020769648575700832,0.033358368435726884,0.046539813785787844,0.007761232508892551,-0.009058535482345679,0.004036000435092049
  Land And Improvements,0.022571513333499767,0.0033632920590175716,0.04952368971201432,0.030748316962973168,-0.029802348508772596,0.03312876902805132,0.05051182886231828,0.04884663627584355,0.0015982733601887043,0.08619580175704954,0.03301670415540642,0.032775834665675484,0.025101241487394663,-0.00019420962554555967,0.050921409224529535,0.008534631434139203,0.02949483327402827,0.02746868936826895,0.01467634455408336,0.020137614865642393,0.007214599322733649,0.005517155487125285,0.022926661850367406,0.0023088869640958804,-0.003980462837357831,0.0016786422552234146,0.01575814732121394,-0.0012496645152517234,-2.108091771708216e-05,0.009627213400164262,-0.0056033006598376935,0.02545266469143474
  Buildings And Improvements,0.009916108613335911,0.06509104761543104,0.07974104320920969,0.05565641141768897,0.012357776491587204,0.08978191584727498,0.047076190339134905,0.03252361158236469,0.04939244233760942,0.06580841347215365,0.0652627260217082,0.08764513782033387,0.006175272570682361,0.03898142016763461,0.08382292012568116,0.06566501139678016,0.09064281207761489,0.09016138285845686,0.06613510720665253,0.07508355281403674,0.050750480850153094,0.04167829078273391,0.08385554856601428,0.05722761145377818,0.05509107536320231,0.017286715657746147,-0.017693906341627742,-0.009459813355592537,0.01773105576781207,0.010478218729225346,0.05685771314437192,0.059988640595235426
"  Machinery, Furniture, Equipment",-0.009300010211994345,0.021779002309711012,0.0028770603749081834,0.020359603593827765,0.007473393595171475,0.02480458723407974,-0.019744326300293415,0.005272344963464724,0.02069386437065513,-0.0023113688326966025,0.028621146981131978,0.032437420962129704,-0.020057730414545363,-0.008530125651777425,0.02141580632683681,0.01243861905249632,0.02791427501642663,0.038810792603008876,0.01632432545950575,0.021064720731451467,0.0187648907813149,0.017486410313941894,0.0359109938361155,0.0008163434278124422,0.016103633396183575,-0.022274734038096988,-0.02055222070394403,-0.032417622140897835,-0.009898374078523148,-0.003974765098106551,0.009048866275100254,0.011861350932537682
  Construction In Progress,0.004858199702084685,0.020172062831091603,0.01346683199398985,-0.02247670642977638,-0.02749344591372209,0.03184637396078045,0.019422939696749388,0.05374549769546108,0.03427539152297393,0.013166226324392023,0.013470797119376567,0.10932357187423901,0.03407898503070613,0.02879720248072489,0.014732770598947474,0.032408937594896055,0.06681554380724963,0.07431141465537877,0.06156355748683782,0.05648170398598908,0.03177259027690093,0.030291941163602384,0.06681554380724963,0.03144885147659316,0.03200683057001154,-0.015792876268470063,-0.008848533575728821,0.016146093648406704,-0.00017803232546569075,0.000612090104796649,0.0019257993223170723,0.038300934019944034
  Other Gross PPE,0.002739755073956197,0.030064907731639008,0.0005699212474571667,-0.001997032992760984,0.01777706762769296,0.07439280602485439,0.007519965628736576,0.05229026298493079,0.03609943297364689,0.006114484217445559,0.06425440075173242,0.017704674989236203,0.07400533643972969,0.05164738562243892,0.03800826383223311,0.042316536771139,0.024408263539859032,0.029762704389527612,0.043043725027127666,0.09167698462274569,0.073186833336989,0.04019844886257219,0.031166098527404918,0.04142749422696774,0.060776037491845625,0.0011929420967819163,-0.018191801781093433,-0.023297006206941143,-0.023601226335581253,-0.0009584707634695075,-0.004460568949567548,0.068956442689407
"Gross Property, Plant and Equipment",0.047791159354493434,0.0701690902974171,0.1094175082323282,0.11313953033611283,0.04608919745690089,0.08226093544141176,0.030479807185241698,0.026653344404777304,0.05545088363483545,0.07486303774306541,0.08253039407002236,0.17577152795338097,0.04458786721976766,0.040496406915271246,0.09261821952942062,0.06207580990579339,0.07869026172785451,0.07470890705307995,0.06585991318159974,0.06548364357797849,0.05290424724175416,0.05806811335598299,0.07715309837615604,0.04365704539492978,0.06574127679033978,0.011787099444587442,0.0319474382670777,0.002583297454891971,0.0023608842167723355,0.00430627572440304,0.013284214287629369,0.04807684828428282
  Accumulated Depreciation,0.11986646206104355,0.14894870490294357,0.08689017191065851,0.1060455024226387,0.06275229629503408,0.08242651631701411,0.055345301248060454,0.06474036503904765,0.08638683596956341,0.08008642349033487,0.19288719886374286,0.1326063644464256,0.10418254207020322,0.0697052217879266,0.1285074392710802,0.09833543192420346,0.11461096186776758,0.09458213046185239,0.10526883330341906,0.10208709379178676,0.08137259638627234,0.08308495694597774,0.11386119096173951,0.07598668953426777,0.09247715446093425,0.06098588029934219,0.07881769700447872,0.08789935986306166,0.06050083995880138,0.07164359934963554,0.1904578766749891,0.19211280439714698
"Property, Plant and Equipment",-0.005161254563686757,0.06706930662110525,0.10970774642348817,0.10445586365376966,0.03900281530619653,0.08797929408164755,0.02849726702800952,0.03370782454003021,0.06130115638552445,0.07390288256359766,0.09091936522433677,0.11657919373022493,0.036127402215567796,0.058929781332939364,0.09304152518905279,0.06548984287192419,0.08514198093311114,0.07880984375312139,0.0696659901069437,0.0685191602482568,0.0658131293558345,0.05695340920957109,0.08429150870520892,0.04911788502790014,0.05431613572113744,0.013432353246379999,0.028249310392840326,-0.02205009369692413,0.0017913354902963827,-0.0011093493858872787,0.01979485804233514,0.06793420984399566
Intangible Assets,0.07631012182048216,0.14201923527513838,0.11267582479924033,0.031359017078725133,0.011124522366338402,0.04578035672027783,0.013863896890004525,0.01472286996318544,0.03203984834328901,0.0052039902832984215,0.13992490119872683,0.07315173662162933,0.03509677193240911,0.0329324432253267,0.026242466113499795,0.03174743149159582,0.042247666869398244,0.041723633811168,0.039609933640232804,0.043908398369740254,0.03218397659264577,0.056839167691813824,0.04149201643553383,0.047088152625189054,0.046370531607509285,-0.0019605956693851297,0.0038453224780943124,0.012168868558718085,0.007636697174908968,-0.0012046259127871796,0.016636749589771176,0.06429451711211513
  Goodwill,-0.00411340504468722,-0.05533688469878183,0.002398731746463597,0.001924572335543765,-0.0032774296480634173,-0.013082016736121624,-0.01243808986929482,0.01525387441647544,-0.015347353375152525,-0.014968774295949366,-0.020458125639759343,-0.03332962924179472,-0.02793780071963745,-0.03969888654705367,-0.030768647620947737,-0.04808301987273002,-0.04830176393347393,-0.04844269049853162,-0.04830176393347393,-0.04844269049853162,-0.044900084126685405,-0.04622043452310853,-0.04844269049853162,-0.029534061688704812,-0.0203662755815883,0.009438819806255733,-0.02322616848680643,-0.018721859775923007,-0.01430337393318738,0.015247614977429757,-0.05385484682447607,-0.02991631328341677
Other Long Term Assets,0.06927903887406607,0.08606776119148578,0.10579775978452394,0.028547527965264125,-0.0002243256193147227,0.1105528359643175,-0.022167919403655284,0.09848137118273068,0.0841927290433809,0.05406563934075427,0.10855063229996158,0.12185523809942209,0.03365862239126218,0.034449921608931074,0.011450861664367474,0.08413989199189999,0.08127227980589523,0.11213105475286535,0.11774141334319238,0.1094238954708279,0.08624156942276055,0.07907891827962046,0.11296295449163025,0.11705359408682872,0.015684819429234314,-0.010845067581339215,-0.0159289456986512,-0.017520716341155467,-0.031006502724370964,-0.013496525177478928,0.0952634631927138,0.08524432933820617
Total Long-Term Assets,0.2723782415217539,0.2768237043506576,0.140064762647495,0.06733672650424259,0.04225619983442862,0.07203291057753129,0.02745412086727291,0.024261581331488372,0.08188283809082518,0.08652803844819536,0.3158112840544784,0.10418808572769585,0.17347767552854026,0.15067356022830203,0.06832001432694035,0.12494829789629819,0.1409520869564832,0.122318438942838,0.12705681650909656,0.11265242194164395,0.15830723370092126,0.1247176701086046,0.12278069147002499,0.12838241028187677,0.05943268598962247,0.03706090600348709,0.0027395164164617323,0.006152701819595785,0.034061710150392346,0.008508748108104747,0.07599706198850514,0.11737442953059744
Total Assets,0.8934150499782122,0.5260039902438121,0.0982377244013567,0.029184057216806086,0.02025822414220773,0.055501189103241914,0.03005629806820984,0.01341837595992613,0.0609989554038686,0.03777985012289797,0.3140961170234039,0.12628450388511248,0.11169919720420707,0.14167351160875138,0.10041990947769466,0.12533559692728827,0.1324960479830429,0.11893270126284601,0.10072317530734824,0.11500699119015494,0.13639410758446693,0.12794203828964795,0.08227577639242083,0.04119121213175141,0.05907430386186162,0.1026202723543928,0.009629227335439297,0.027004037332848937,0.06525411390337157,0.012171194409336278,0.08515784679777363,0.11655341415781748
  Accounts Payable,0.0064981790942973796,0.022905134786173006,0.030733559743606097,0.037312866224976184,0.06666601376013338,0.034473669312183215,0.03477657673801217,0.016488720104897946,0.11749601346913456,0.05249659707077428,0.02837392339386109,0.041735597613596416,0.025287762820834666,0.04022983265067202,0.23102955949519793,0.08953704816049018,0.022234020327849897,0.01511176691341876,0.03931351710227374,0.013947809095884904,0.03737188051624916,0.08993138581862284,0.016545081128246326,0.029355794711466196,0.11786606460222968,-0.004493782899716232,0.011751162578384416,0.00018402888903371745,0.000154589417968884,0.012146063051695745,0.016389187873634036,0.02691354267380773
  Total Tax Payable,0.1112420774006521,0.09383745992046222,0.020486051456119238,0.02992862223918901,0.005350503725332219,0.030011744200305848,0.2606952967141363,0.01353650682512928,0.029032914233679256,0.01194789082259219,0.06834092634239279,0.03994199883515799,0.1506017958620776,0.12610978693075062,0.12215593199314799,0.013205891136590455,0.031130267668466948,0.021946085688280468,0.018938705427530556,0.013756786139511304,0.11398658287137117,0.019558035272996176,0.030407845906010676,0.02432127563911405,0.12892896630164571,0.03694498545458998,0.015993967190535714,0.007410448221524734,0.031061981161447965,0.0038614753502849036,0.07497766585450798,0.0146236634196825
  Other Current Payables,-0.029347262326430777,0.11664336185426882,0.11064178049838867,0.10373585648621415,0.05603337877188325,0.1180240194488198,0.08764199595825414,0.0562627860065193,0.1109903339177984,0.06016323992519311,0.13874771050707194,0.0253081880654851,0.03947009167528832,0.1099793409612371,0.31745218506976236,0.12308331992118479,0.07303270062490584,0.06513654184875602,0.12421980648916865,0.12777272140739404,0.12908730243744868,0.12874621276807202,0.025064200548166545,0.0882209525935614,0.1920735435386974,-0.03238210305719226,-0.006506887247911747,-0.01176823281919287,-0.0340985541144136,-0.033327648927745965,0.014829326660104817,0.06504361983700821
  Current Accrued Expense,0.024451905896566112,0.0815482053609376,0.03179803678489562,0.02780899595384086,-0.0077535046158887545,0.051837452690212456,0.12051592136841849,0.13128840509827544,0.10088600074932493,0.13021626198943842,0.07344355764024264,0.041878603822946,0.06672943981892053,0.07265714313535208,0.5053210753006325,0.09472009408601373,0.03434053255162841,0.03459560103342649,0.09539490684272783,0.09359741093121034,0.09215017763475236,0.08472087027199336,0.014422746925454977,0.0471951870706557,0.09887726033524163,0.0011042622497663638,0.03410580438422142,0.0051685046531766525,0.027418562118677433,0.012261520533365522,0.060957693797200646,0.07193206314403394
Accounts Payable & Accrued Expense,-0.022833671982474178,0.08531407019972286,-0.022470308441539192,-0.011742743837816547,-0.020887295300859476,0.050962786465913894,0.0772065268049685,0.009432014635103153,0.13240634667738496,0.051487137400142394,-0.00033232384839300454,0.002833216806351526,0.024667938974949094,0.07404256767144582,0.49560449984644833,0.0913204078080041,0.03169014954068359,0.024565809294085073,0.09538965202188404,0.05546263296875841,0.09130526226498514,0.09107527635393997,0.03391752587619952,0.07807922395921052,0.13251679742070838,-0.02962404145907835,0.004237210362953151,-0.03180802997501572,-0.024686263386185788,-0.029062970620089404,0.08629860451373329,0.09774677713381333
  Short-Term Debt,-0.014908451449091944,0.014553893630290011,0.14690622986933688,0.04805350300379226,0.005009402499253224,0.03588828346341229,-0.015891064749949446,-0.006398899206013052,0.04330537436851057,0.057115014390345456,0.017233912760347067,0.047590528796360866,0.03527394247290034,0.06565363931402438,0.07159269334492739,0.07598594251221347,0.08119868274734118,0.10402647815418735,0.3563217053148709,0.10181567453199544,0.08097919277865419,0.06885683976131537,0.10339840399938884,0.35546662763463815,0.1073695943734066,-0.014725824323656222,-0.010504990014163218,-0.01704315123867552,-0.012322945917565265,-0.012758215545878542,0.01694391881374062,0.012491524657288144
  Short-Term Capital Lease Obligation,0.029142461128648108,-0.00913492965977782,0.11687216658607491,0.030935764285013094,0.0013339079018241011,0.015347824420160335,0.05448044365347709,0.0541654549731556,0.008159756734799952,0.06355325570443866,0.02451481055619421,0.04896052914350699,0.024662993065765002,0.014840719897812035,0.029729213115147993,0.07637774628614384,0.22407537844629782,0.24316164962531164,0.09278962477907757,0.08308222930425256,0.03621470277835673,0.08117196442327342,0.24485151658226165,0.07120824473319595,0.004259428479140667,0.022162793714849197,0.019871054874314446,0.051362933587562824,0.03348686902856298,0.007133098605334332,-0.0071616075398086764,0.01137955614229137
Short-Term Debt & Capital Lease Obligation,-0.010712998307565317,0.03615874671089826,0.1517621764034355,0.03255991252162387,0.0023359870605938354,0.022541987037909026,-0.007237102560147746,-0.002911347678605015,0.02082363701429009,0.06384024593525217,0.04829603925786867,0.05541897740564086,0.11419194156812909,0.08651348906241323,0.015814058257300125,0.09972709185383118,0.5595499364824936,0.5568894649680023,0.2085740535283492,0.1357861298649437,0.11461156633450983,0.09969343452480064,0.5618506743434943,0.18104087728255183,0.028152249670100778,-0.011108467410656209,0.007703051530616184,0.01483050851610012,0.003487058241755968,-0.0055386149359502295,0.000220627206746986,0.01687044722182556
  Current Deferred Revenue,0.0019215964311914179,0.013736724524948198,0.03899594896593138,0.03930971846550781,0.002753911078860266,0.03222951980429388,0.12031022567329677,0.07210166331233583,0.05342397452907149,0.13533793788043808,0.053572643393886954,0.04008004914109764,-0.0036692432136848376,0.01819029984652959,0.1054089754059938,0.034171021529772215,0.04130534672041364,0.01995950360291211,0.049743762359965596,0.027545029317212706,0.02944290752694603,0.016354370204458207,0.011928010029386331,0.005945657581912479,0.02944290752694603,0.004726318941599762,0.04028781997913663,0.011626089294022495,0.013403184255822286,0.013279866720110188,0.05546235381387481,0.0721169867930539
  Current Deferred Taxes Liabilities,0.015559158676722591,0.02930727099066308,0.028742436922642382,0.03524281178740642,0.003289882952737482,0.041180496560027,0.09621451824827272,0.07411026398011482,0.03670725813832277,0.1304904277782301,0.049821264685947976,0.032115638404347266,0.1133720798749136,0.043528713067457085,0.09932966214832743,0.05955836210731913,0.09630154631381474,0.09840296154951178,0.09232115797932013,0.09586796096122267,0.08423614247512844,0.05987319507944455,0.07204594543978399,0.06447895214951037,0.04776434176829107,0.0022362619034645625,0.04166298871605728,0.005388006756956493,0.008520692125774484,0.016271967070197048,0.06173278036747231,0.06564283708789331
DeferredTaxAndRevenue,0.00556037138343246,0.0002226276460362206,0.04136222254324365,0.030544154118796338,0.0030428725356560354,0.013587875769796844,0.06090952298700645,0.04081218976247103,0.014472554672875306,0.05320286194165566,0.034726578769151015,0.0350769103707526,0.00962600828312129,0.014409712217604984,0.028946582930310324,-0.006977898207931155,0.010433732793422797,0.01129370415345434,0.01374003934254958,0.014991012200032993,0.014118293064796361,0.013204456352496733,0.018518759057731482,-0.009620317038766039,0.015208477720634021,0.006655197421250978,0.023296986820169924,0.019351669102526788,-0.01306625047773622,0.011927129280992408,-0.010897507063718283,0.017349918708451064
Other Current Liabilities,0.042863741078266834,0.1271700146222776,0.04775309264717493,0.06151698514189429,0.020278667687670924,0.09269703783478633,0.05787701300629868,0.11921461853651505,0.0696294132448782,0.11361608067723808,0.17343796176834347,0.041041296945997216,0.3950936436491551,0.5501525971969616,0.157525157785035,0.5817737257977952,0.12312105436937507,0.11581783740696117,0.1217153940423946,0.11474245112459316,0.3177514188666843,0.5516540483065315,0.09037774578641561,0.08567156101478962,0.06196782797619118,-0.011250571318359614,0.012157304856711052,-0.004684827073135484,-0.009149870136956794,-0.01937811919052143,0.07334940736694613,0.1063040588551553
Total Current Liabilities,0.07842775140278098,0.12313220987914426,0.06132993586346135,0.06976941360621196,0.03700405361187748,0.08638066437046923,0.07677258263675718,0.12828686160993477,0.10990855063026689,0.12106079547933618,0.1578575164193586,0.0647518328298807,0.6038706430522002,0.945642066358936,0.1350791365607752,0.5755987037386967,0.14327575438361168,0.14964916565737277,0.12436786893903833,0.12806055766598218,0.5171955899437158,0.32898728804963817,0.13464291429220512,0.08645387229699966,0.09192420509811951,0.015870140042469217,0.024101653106081818,0.00812718978813473,0.024753440976055217,-0.0061095630131924586,0.08069345929828607,0.1185931244249426
  Long-Term Debt,-0.0359412932531111,0.03463440649963018,0.133334532640236,0.008876587667881505,0.00923799873248142,0.02646781804013388,-0.01694351444800984,-0.00480292977035638,0.020683968252105434,0.05415146253478354,0.04625158894097877,0.049441377313278474,0.08032654025845533,0.04721901033459545,0.07012602133863573,0.04485423490228632,0.09158391113685288,0.29388521074438023,0.612863430803833,0.10451296585444846,0.10399170424164841,0.08847959843353724,0.3256448270970869,0.587712636532256,0.05292343909572676,-0.024846673451224446,-0.025275339638242272,-0.019878682851566954,-0.019454475603765252,-0.011572411994790562,0.06572657419421211,0.07707254093023554
  Long-Term Capital Lease Obligation,-0.025179071361693495,0.031267215449205736,0.006166671719452383,-0.008478534989618048,-0.017159513767284747,0.030856328914952904,-0.0081937944721976,-0.008999901454841808,0.034213670237800156,-0.014216507785070864,-0.0005663619181796443,0.015201109616008988,0.024785017644855353,0.10349522056294612,-0.008512260828097331,0.1311479689586329,0.3206240149414348,0.5564531857996259,0.13399249547802666,0.1322749166715003,0.09087112968374869,0.1318610239340434,0.5809792717187365,0.09407454610052553,0.045664816588417076,-0.01513341493151489,-0.017924828517327508,0.012077913743497601,-0.002406739145904251,-0.018213515631548063,-0.02501788995996663,0.028818527776446168
Long-Term Debt & Capital Lease Obligation,0.010544262984310633,0.04633438523972319,0.08319617065765766,0.06139027170132083,0.01771040181642776,0.02635917695079572,0.011368260410836915,0.01266079979952827,0.024510617788005534,0.0788087808361067,0.06906621414438113,0.0687288507739035,0.13840923278744618,0.08997773205158274,0.034520849109149036,0.0966850544582913,0.5644119374845608,0.5956976372698964,0.2946221161581531,0.11468743805866868,0.11192798082196856,0.1039833258076077,0.563332736475092,0.28150181649587114,0.02524095758909235,-0.005506080183334568,0.005653999164299584,0.015385493692809605,0.005707515640138568,-0.004169772120140006,0.00031239144639250236,0.01700282288627845
Debt-to-Equity.1,0.14598237498050454,0.19227497518228426,0.052538031524415246,0.10355443517787517,0.02374817930034622,0.06948357529821031,0.03451674139277274,0.03469076486915569,0.06370716345584425,0.09757925257317186,0.14357279518303806,0.05970599902244913,0.13864438315962302,0.11676899885722006,0.06577233417198494,0.12815427602912033,0.14371934440446435,0.14140639385143103,0.1358020113049851,0.161252339565211,0.1924057769729882,0.14106245290678351,0.13315844492104237,0.18274159103678334,0.17855405935463858,0.1847989532088198,0.07320168846943956,0.05751007461310396,0.06916629402496247,0.05450560471538412,0.1050909681717487,0.11112821442538466
PensionAndRetirementBenefit,0.004289635156046203,-0.010181705887220826,0.023914012216744076,0.03357148114950159,0.004322218537424668,0.018981322233027273,0.06053347044139515,0.04277848872573206,0.014255089152274272,0.0746323095428773,0.02839488997077631,0.029697080552666528,0.025424712555945635,-0.005979975550004839,0.09945623070152461,0.005890561810623404,0.00958647207521351,0.01630461061272343,0.0034498110665200227,0.008979973988796007,-0.0028103788041302347,0.0036350918366362672,0.003827913933139391,-0.00776705443694851,0.009358305326233619,-0.001580459497374689,0.020169309168785635,0.028220631378015202,0.014357460256708103,0.01605043206821631,0.005115404266614212,0.06971453363274216
NonCurrent Deferred Liabilities,-0.012330329159147065,0.021720195739487098,0.03580612799889014,0.029758493651688735,0.002729770531602539,0.046514598928418624,0.06882837300279301,0.07211953876747441,0.04438947430714152,0.13545210252587347,0.11640469715763022,0.03363299621231942,0.07606996368711456,0.047638081614771,0.11234831053828942,0.05787494601034478,0.09821560873953214,0.03367359956397448,0.09868150846090655,0.10116335806589292,0.1888220184593279,0.20579335504186533,0.063273774616548,0.06925100324348021,0.02944290752694603,0.004504396656318979,0.042930895993161314,0.014312065064506226,0.012532752488897979,0.013403184255822286,0.06873450676099276,0.021562893581116686
Other Long-Term Liabilities,-0.009595149931977652,0.02457507545098563,0.03718677169314287,0.006649727645609509,0.024969503778861785,0.05069825249230795,-0.0013614343849107312,0.04098148349296721,0.023124128185932194,0.07459549198205245,0.11502182454339627,0.03365269257273519,0.33857761511222484,0.281067619378815,0.13925307540291368,0.2999022471381577,0.08753357340180695,0.11247768573439314,0.11061285041448,0.1255014389751477,0.3039099190513287,0.3303242176974875,0.0922133807119391,0.269631711149905,0.027391690437703106,-0.014578909647868973,-0.012251764940096888,-0.006705704828282761,-0.0008228690307879383,-0.0014046729732771959,0.0718483646897539,0.10177835589769359
Total Long-Term Liabilities,0.08173027450308197,0.1321216842610045,0.05430930988069264,0.033197454529823804,0.011008709726175061,0.041837400406967956,0.0029737964047319597,0.0030965669291013655,0.038208206329383425,0.0686790187198352,0.16358690526651684,0.03983607342760819,0.39975429597572554,0.3353018979083882,0.12333945083664333,0.31252351641273485,0.11212197749191441,0.10835455341616725,0.2965792944108299,0.08994888594161238,0.32073821672127206,0.3103607179377975,0.11149350845427812,0.2770768448417552,0.03397204145399263,0.00919381713481519,-0.010516518928191242,-0.0009167781736778868,0.006063904093133745,-0.012000105898803482,0.08165790762659765,0.10738664557326924
Total Liabilities,0.09333761944944277,0.16216339905553986,0.021945737155285985,0.025262705008017416,0.011185501042354792,0.06102344755677294,0.028772056594571955,0.02397235819511615,0.07033313705122743,0.07904448350811795,0.1251212364155616,0.03857040125550681,0.942470372003223,0.5744506220385766,0.07337118664829008,0.3422321587464625,0.15042635425221523,0.139077495330268,0.12787096734246817,0.12859960472299514,0.5559089892792296,0.30637665531926256,0.14974235334983818,0.10293443327974147,0.06796958824267736,0.05642320085238107,0.01215530194621918,0.026286332076340974,0.03972370926481158,0.018500487008285302,0.09263683666538028,0.10123884603281108
Common Stock,0.010663635112259463,0.015206672747211838,-0.010229168417554179,-0.008448088067401462,-0.011193414165932359,0.01230251505704755,-0.007291520488117105,-0.0072663806790969395,0.022660071394856648,-0.001707638115666803,0.009420761204569986,0.012233890327389444,0.015409821445269846,0.02527919461583361,-0.013597170012998969,0.013313175075973918,0.011636032616143729,0.025092353079989877,0.03835788425026496,0.04052760923833039,0.03366810046526141,0.021582056221731594,0.020403700693759578,0.0361283928122642,0.034173509950154404,0.08613585104311476,0.090488979149417,0.02898258100960143,0.10643827910659355,0.9548266307810225,0.01565936864689367,0.028476866162476445
Preferred Stock,0.01029181245979482,-0.0049383747229862565,-0.0023006591274791254,0.011241549003600746,0.002085310766338139,0.011380861494766218,0.049619366186333114,0.05259832830118181,0.01552616376622636,0.04650864274244426,0.0383487401898029,0.014788129472941013,0.012921673098056112,-0.018345550646239578,0.033107097771689575,-0.005063762959536857,-0.0034660448480898012,-0.015313267326863368,0.012255883472208528,0.01129957792333013,-0.011087296088265766,-0.0035344531263175045,-0.014182903194967188,0.015034615574603154,0.013812148802408794,-0.00023358854103721662,0.09856401674165759,0.0367056502224435,0.10373199397656221,0.07730012347353618,0.005615642202162945,-0.006768956903187677
